"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","A. Satisfied",43,48,1413667,4745468
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","B. Neutral",5,48,1413667,4745469
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","C. Unsatisfied",0,48,1413667,4745470
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","A. Satisfied",43,47,1413668,4745471
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","B. Neutral",4,47,1413668,4745472
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","C. Unsatisfied",0,47,1413668,4745473
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","A. Satisfied",44,46,1413669,4745474
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","B. Neutral",2,46,1413669,4745475
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","C. Unsatisfied",0,46,1413669,4745476
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","A. Satisfied",42,46,1413670,4745477
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","B. Neutral",3,46,1413670,4745478
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","C. Unsatisfied",1,46,1413670,4745479
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","A. Satisfied",40,46,1413671,4745480
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","B. Neutral",6,46,1413671,4745481
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","C. Unsatisfied",0,46,1413671,4745482
"Facility Management - Occupant Survey: Qatar Academy Expansion - QF","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","A. Satisfied",38,46,1413672,4745483
