"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","A. Satisfied",107,110,1425997,4783966
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","B. Neutral",3,110,1425997,4783967
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall environmental conditions in the building?</span>","Overall Environmental Conditions","C. Unsatisfied",0,110,1425997,4783968
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","A. Satisfied",102,109,1425998,4783969
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","B. Neutral",7,109,1425998,4783970
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall health and safety measures in the building?</span>","Health & Safety Measures","C. Unsatisfied",0,109,1425998,4783971
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","A. Satisfied",99,109,1425999,4783972
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","B. Neutral",10,109,1425999,4783973
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the fire safety measures in the building?</span>","Fire Safety","C. Unsatisfied",0,109,1425999,4783974
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","A. Satisfied",100,109,1426000,4783975
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","B. Neutral",9,109,1426000,4783976
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall security in the building?</span>","Overall Security","C. Unsatisfied",0,109,1426000,4783977
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","A. Satisfied",99,109,1426001,4783978
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","B. Neutral",10,109,1426001,4783979
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the overall building maintenance?</span>","Overall Building Maintenance","C. Unsatisfied",0,109,1426001,4783980
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","A. Satisfied",108,109,1426002,4783981
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","B. Neutral",1,109,1426002,4783982
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the maintenance of the equipment (lighting fixtures/ elevators/ HVAC units/ etc.)?</span>","Equipment Maintenance (HVAC, etc)","C. Unsatisfied",0,109,1426002,4783983
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","A. Satisfied",98,109,1426003,4783984
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","B. Neutral",11,109,1426003,4783985
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the building façade and envelope maintenance?</span>","Building Facade and Envelope Maintenance","C. Unsatisfied",0,109,1426003,4783986
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","A. Satisfied",102,109,1426004,4783987
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","B. Neutral",7,109,1426004,4783988
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with the washroom’s cleanliness and janitorial services in the building?</span>","Washroom & Janitorial Services","C. Unsatisfied",0,109,1426004,4783989
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","A. Satisfied",101,109,1426005,4783990
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","B. Neutral",8,109,1426005,4783991
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p style=""margin: 0in 0in 6pt;""><span>How satisfied are you with the help desk management?</span></p>","Help Desk ","C. Unsatisfied",0,109,1426005,4783992
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","A. Satisfied",98,109,1426006,4783993
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","B. Neutral",10,109,1426006,4783994
"Facility Management - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<span>How satisfied are you with vending and catering and pantry facilities management in the building?</span>","Vending, Catering, Pantry Facilities","C. Unsatisfied",1,109,1426006,4783995
