"Survey/Quiz Title","Respondent Name (First)","Respondent Name (Last)","Date Submitted","Question","Question Format","Respondent's Answer","Answer Is Correct","Respondent ID","Question ID","Answer ID"
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-01 04:38:01,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5553258,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 02:36:09,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560201,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 02:38:09,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560205,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 02:44:12,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560211,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 03:10:59,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560226,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 03:32:20,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560239,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 03:38:05,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560242,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 04:27:21,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560263,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 04:32:24,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560269,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-09 03:23:10,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5563765,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:20:06,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567556,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:32:36,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567558,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:34:57,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567559,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:35:52,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567560,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:36:36,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567561,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:37:35,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567562,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 02:37:43,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568252,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 03:05:29,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568265,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 03:08:06,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568267,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 03:10:15,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568270,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 03:12:39,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568272,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 03:14:45,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568276,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 03:15:28,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568277,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 03:51:31,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568289,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 03:59:11,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568300,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 04:06:27,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568315,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 04:12:02,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568319,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-13 07:06:06,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5568541,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Abhay",,2022-06-07 04:34:55,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560272,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Ahmad moustafa",,2022-05-30 06:00:34,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5550711,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Dominic",,2022-05-30 07:38:52,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5550770,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Hudson  Hubald",,2022-06-01 05:34:06,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5553292,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Joseph  Pascual",,2022-06-01 05:50:04,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5553302,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Mazhar",,2022-06-09 03:39:49,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5563773,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Mohamad Nemr",,2022-06-09 02:56:01,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5563749,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Shibu Mohamed",,2022-06-08 03:47:19,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5562049,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Ahmed ","Abdelrahman",2022-05-30 06:36:22,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5550727,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Hamed","Aly",2022-05-30 07:01:46,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5550745,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Sherief Abdulraouf","El Hadary",2022-05-30 01:59:49,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5550636,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Moustafa","Elsawy",2022-05-30 07:07:06,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5550752,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Dalia","Hassan",2022-05-30 02:23:35,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5550644,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center","Hussien","Shoukier",2022-05-30 06:50:47,"<span>How satisfied are you with the overall environmental conditions in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5550738,1392075,4681954
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-01 04:38:01,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5553258,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 02:36:09,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560201,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 02:38:09,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560205,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 02:44:12,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560211,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 03:10:59,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560226,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 03:32:20,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560239,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 03:38:05,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560242,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 04:27:21,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560263,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-07 04:32:24,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5560269,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-09 03:23:10,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5563765,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:20:06,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567556,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:32:36,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567558,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:34:57,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567559,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:35:52,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567560,1392076,4681957
"Facility Management - Occupant Survey:  Al-Sayer Mega Delivery Center",,,2022-06-12 03:36:36,"<span>How satisfied are you with the overall health and safety measures in the building?</span>","Single-Select (i.e. radio buttons)","A. Satisfied","N/A",5567561,1392076,4681957
